guid,plant_type,plant_origin,light_requirement,wind_tolerance,growth_rate,frost_resistant,is_evergreen,is_native,plant_height,plant_width,flower_color,flowering_month,climate_zone
https://id.biodiversity.org.au/name/apni/90246_0,Tree,South Pacific,Full Sun to Part Shade,Medium,Fast,Tender,Yes,No,3,2.5,,,
https://id.biodiversity.org.au/name/apni/9860542,Palms/Cycads,"NSW, Queensland",Half Sun / Half Shade,Sheltered,Very fast,Marginal,No,Yes,6,2,Mauve,,"[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2886056,Shrub,Western Australia,Full Sun,Wind/Salt tolerant,Medium,Marginal,Yes,Yes,3,3.4,Golden Yellow,"March, April, May, June, July, August","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2886064,Tree,"Coastal rainforest of NSW, Queensland",Half Sun / Half Shade,Sheltered,Slow,Marginal,Yes,Yes,12,6,Red,"January, February, March, April, May","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2886177,Annual/Perennial,"North Africa, Azores, Canary Islands and Madeira",Full Sun to Part Shade,Medium,Fast,Tender,Yes,No,1,1,,,
https://id.biodiversity.org.au/node/apni/2886197,Shrub,NSW Queensland,Full Sun,Sheltered,Slow,Tender,Yes,Yes,5,4,Pink White,"January, June, July, August, September, October, November, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886208,Shrub,Ethiopia,Full Sun to Part Shade,Sheltered,Fast,Tender,Yes,No,4.5,4.5,White,,"[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2886237,Shrub,Eastern and Southern Australia,Half Sun / Half Shade,Wind Tolerant,Fast,Hardy,Yes,Yes,2,1.5,White,"January, February, July, August, September, October, November, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886270,Shrub,New Zealand,Half Sun / Half Shade,Wind/Salt tolerant,Slow,Marginal,Yes,No,2.4,1.5,White,"January, February, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2886270,Shrub,New Zealand,Half Sun / Half Shade,Wind/Salt tolerant,Slow,Marginal,Yes,No,2,1,,,
https://id.biodiversity.org.au/node/apni/2886308,Shrub,"NSW, Vicrtoria, Tasmania and South Australia",Full Sun to Part Shade,Medium,Medium,Hardy,Yes,Yes,1.25,1,Red,"April, May, June, July, August, September, October",[]
https://id.biodiversity.org.au/node/apni/2886410,Annual/Perennial,Australasia,Half Sun / Half Shade,Medium,Fast,Tender,No,No,0.2,2,Yellow,"January, February, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2886492,Shrub,,Full Sun to Part Shade,Wind/Salt tolerant,Medium,Tender,Yes,Yes,0.7,1,Pink,"June, July, August, September, October","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2886624,Shrub,"NSW and Qld, Australia",Full Sun to Part Shade,Wind/Salt tolerant,Fast,Marginal,Yes,Yes,1.5,1,Pink White,"April, May, June, July, August, September, October, November, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886656,Annual/Perennial,Europe,Half Sun / Half Shade,Medium,Fast,,Yes,No,0.8,2,Golden,,"[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886731,Annual/Perennial,Southern Europe,Full Sun to Part Shade,Sheltered,Fast,,Yes,No,0.8,0.2,Assorted,"August, September, October, November","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886738,Shrub,Mediterranean,Full Sun to Part Shade,Wind Tolerant,Fast,,Yes,No,1,0.5,Blue Mauve Purple,"October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886738,Shrub,Mediterranean,Full Sun,Wind/Salt tolerant,Fast,Hardy,Yes,No,0.8,0.8,Blue Mauve,"October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886738,Shrub,Mediterranean,Full Sun to Part Shade,Wind Tolerant,Fast,,Yes,No,0.6,0.9,Blue Mauve Purple,"October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886738,Shrub,Mediterranean,Full Sun to Part Shade,Wind Tolerant,Fast,Hardy,Yes,No,0.6,0.7,Blue,"October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886738,Shrub,Mediterranean,Full Sun to Part Shade,Wind Tolerant,Fast,Hardy,Yes,No,0.4,0.4,Pink White,"October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886820,Annual/Perennial,"Bulgaria, SW Russia",Full Sun to Part Shade,Wind/Salt tolerant,Fast,Marginal,No,No,0.6,0.5,Blue Mauve,"January, February, March, September, October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2886832,Tree,NSW and Queesnland rainforests,Half Sun / Half Shade,Medium,Fast,Marginal,Yes,Yes,15,10,White,"January, February, November, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2886832,Shrub,NSW and Queesnland,Full Sun,Wind Tolerant,Fast,Marginal,Yes,Yes,3,3,White,"January, February, November, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2886878,Bulb/Corm/Tuber,South Africa,Full Sun,Sheltered,Slow,Tender,No,No,0.4,0.1,Assorted,"August, September, October","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2887026,Tree,Eastern Australia,Full Sun,Medium,Fast,Tender,No,Yes,30,15,,,
https://id.biodiversity.org.au/node/apni/2887034,Annual/Perennial,Mediterranean,Full Sun to Part Shade,Medium,Fast,Hardy,No,No,0.3,0.3,Blue,"January, February, November, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887052,Ferns,Australia and New Zealand,Moderate/Dappled Shade,Medium,Fast,Marginal,No,Yes,1.2,1.2,,,
https://id.biodiversity.org.au/node/apni/2887061,,New South Wales,Half Sun / Half Shade,Medium,Slow,,No,Yes,2,1.5,,,
https://id.biodiversity.org.au/node/apni/2887077,Tree,E Australia,Full Sun to Part Shade,Wind/Salt tolerant,Fast,Hardy,Yes,Yes,20,6,Cream White,"September, October, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2887120,Cactii/Succulent,East coast of Australia,Full Sun,Wind Tolerant,Medium,Marginal,Yes,Yes,0.2,1,Purple,"January, February, March, April, May, September, October, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2887142,Tree,Eastern North America,Full Sun,Wind Tolerant,Very fast,Hardy,No,No,30,7,,,
https://id.biodiversity.org.au/node/apni/2887153,Tree,Australia,Full Sun,Wind/Salt tolerant,Fast,Marginal,Yes,Yes,20,20,Cream Pink,"January, February, September, October, November, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887158,Cactii/Succulent,South Africa and Namibia,Full Sun to Part Shade,Medium,Slow,Tender,No,No,0.3,0.25,Red,"July, August, September","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2887252,Tree,Europe to Japan,Full Sun to Part Shade,Wind Tolerant,Very fast,Hardy,No,No,20,3,,,
https://id.biodiversity.org.au/node/apni/2887252,Tree,Europe to Japan,Full Sun to Part Shade,Wind Tolerant,Very fast,Hardy,No,No,20,3,,,
https://id.biodiversity.org.au/node/apni/2887264,Herb,,Full Sun,Medium,Fast,Marginal,No,No,1,0.8,,,
https://id.biodiversity.org.au/node/apni/2887380,Shrub,NSW,Full Sun,Medium,Medium,Hardy,Yes,Yes,2,3,Pink White,"September, October, November","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}]"
https://id.biodiversity.org.au/node/apni/2887385,Shrub,South America,Full Sun to Part Shade,Medium,Fast,Tender,No,No,1.5,1.5,Pink White,"January, February, March, April, May, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2887387,Annual/Perennial,Europe,Full Sun to Part Shade,Medium,Fast,Hardy,Yes,No,0.6,0.45,White,"January, February, March, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887412,Tree,Daintree Rainforest N.Queensland,Full Sun to Part Shade,Sheltered,Slow,Tender,Yes,Yes,6,3,,,
https://id.biodiversity.org.au/node/apni/2887494,Tree,Western Australia,Full Sun to Part Shade,Medium,Medium,Marginal,Yes,Yes,4,3,Yellow,"September, October, November","[{""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887514,Tree,NSW NT Queensland,Full Sun to Part Shade,Wind Tolerant,Very fast,Marginal,Yes,Yes,10,4,Cream White,"March, April, May, June, July, November, December","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2887551,Aquatic Plants,"SE USA , Tropical America",Full Sun to Part Shade,Medium,Fast,Tender,Yes,No,0.2,0.2,,,
https://id.biodiversity.org.au/node/apni/2887660,Tree,"Central, Eastern and Southern Europe",Full Sun to Part Shade,Wind/Salt tolerant,Fast,Hardy,No,No,30,10,Cream Green,"September, October, November","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887691,Climber/Creeper,Japan and China,Full Sun to Part Shade,Wind Tolerant,Fast,Marginal,No,No,10,0.1,Purple,"November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}]"
NZOR-6-3054,Tree,"Europe, Asia and Northern Africa",Full Sun to Part Shade,Wind Tolerant,Fast,Hardy,No,No,25,12,,,
https://id.biodiversity.org.au/node/apni/2887709,Shrub,S.Africa,Full Sun to Part Shade,Wind Tolerant,Fast,Tender,Yes,No,1,1,Mauve Pink,"June, July, August, September, October","[{""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887751,Annual/Perennial,Europe,Full Sun to Part Shade,Medium,Fast,Hardy,Yes,No,0.8,0,Blue,"September, October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887770,Herb,Europe and Asia,Full Sun to Part Shade,Sheltered,Fast,Hardy,No,No,1,1.5,Blue Mauve Pink White,"October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}]"
https://id.biodiversity.org.au/node/apni/2887780,Ferns,"Polynesia, India, Queensland, NSW, Vic",Moderate/Dappled Shade,Medium,Slow,Tender,No,Yes,1.3,0.8,,,
https://id.biodiversity.org.au/node/apni/2887784,Shrub,"NSW, VIC",Full Sun,Wind Tolerant,Fast,Tender,Yes,Yes,1,3,Pink White,"September, October, November","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887807,Annual/Perennial,Southern Europe,Full Sun to Part Shade,Sheltered,Fast,Hardy,Yes,No,2,1.5,Mauve,"January, February, March, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887807,Annual/Perennial,S Europe,Full Sun to Part Shade,Sheltered,Fast,Hardy,Yes,No,2,0.3,Mauve,"January, February, March, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2887931,Shrub,Australia,Full Sun,Wind/Salt tolerant,Fast,Marginal,Yes,Yes,4,4,Red,"January, February, March, April, September, October, November, December","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2888034,Grasses & Bamboos,"Indonesia, Malaysia",Full Sun to Part Shade,Sheltered,Medium,Tender,Yes,No,0.3,0.1,,,
https://id.biodiversity.org.au/node/apni/2888138,Bulb/Corm/Tuber,S Africa,Full Sun to Part Shade,Medium,Fast,Tender,No,No,0.5,0.3,Orange Yellow,"October, November, December","[{""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888259,Annual/Perennial,WA,Full Sun to Part Shade,Medium,Fast,Marginal,Yes,Yes,0.3,1,Blue,"September, October, November, December","[{""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888365,Shrub,Australia,Half Sun / Half Shade,Wind Tolerant,Medium,Hardy,Yes,Yes,1.8,1.8,Cream Green,"April, May, June, July, August, September","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888463,Vegetable,South America,Full Sun to Part Shade,Medium,Fast,Tender,No,No,0.8,0,Mauve White,,"[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2888469,Shrub,Australia,Full Sun,Medium,Medium,Marginal,Yes,Yes,0.5,2,Mauve Purple,"January, February, September, October, November, December","[{""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888491,Shrub,North Island of New Zealand,Full Sun to Part Shade,Sheltered,Slow,Marginal,Yes,No,4,3,,,
NZOR-6-3059,Annual/Perennial,S.E. Europe,Full Sun to Part Shade,Medium,Fast,Hardy,Yes,No,0.7,0.7,Blue,"February, March","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888541,Shrub,South Australia and Victoria,Full Sun to Part Shade,,Medium,Marginal,Yes,Yes,2,2,Red,"July, August, September, October, November","[{""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888552,Shrub,S.E. Asia,Full Sun to Part Shade,Sheltered,Fast,Tender,Yes,No,3,3,Red,"January, February, March, April, May","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2888573,Shrub,Mediterranean,Full Sun,Sheltered,Medium,Marginal,Yes,No,3,3,Cream White,"September, October, November","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2888574,Vegetable,Worldwide,Full Sun,Sheltered,Fast,Tender,No,No,0.5,1.8,Yellow,"January, February, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2888574,Annual/Perennial,Central Europe and North Africa,Full Sun,Sheltered,Fast,Tender,No,No,0.3,3,Yellow,"November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2888604,Herb,Mediterranean,Full Sun to Part Shade,Sheltered,Fast,Hardy,Yes,No,0.8,0.3,Blue,"January, February, March, April, September, October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888669,Annual/Perennial,Western North America,Full Sun to Part Shade,Medium,Fast,Hardy,Yes,No,0.5,0.9,Pink Red White,"January, October, November, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}]"
https://id.biodiversity.org.au/node/apni/2888716,Shrub,Europe,Full Sun to Part Shade,Wind Tolerant,Medium,Hardy,Yes,No,5,4,White,"January, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888727,Shrub,"Queensland, Australia",Full Sun,Medium,Medium,Tender,Yes,No,6,4,White,"January, February, March, April, May, June, July, August, September, October, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2888796,Shrub,"Western Australia, Southern Australia and Northern Territory",Full Sun,Wind/Salt tolerant,Medium,Marginal,Yes,Yes,2,2,Orange Red,"January, July, August, September, October, November, December",[]
https://id.biodiversity.org.au/node/apni/2888827,Climber/Creeper,India and SE Asia,Full Sun to Part Shade,,Fast,Tender,No,No,30,7,White,"January, February, March, April",[]
https://id.biodiversity.org.au/node/apni/2888879,Annual/Perennial,Canary Islands,Full Sun,Medium,Fast,Marginal,Yes,No,0.9,0.5,Pink White Yellow,"July, August, September, October, November","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2888879,Annual/Perennial,Culitvar - Sprint Horticulture,Full Sun,Medium,Fast,Tender,Yes,No,0.6,0.8,Assorted Pink Red White Yellow,"April, May, June, July, September, October","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888879,Annual/Perennial,Culitvar - Syngenta Participations AG,Full Sun,Medium,Fast,Marginal,Yes,No,0.6,0.6,Assorted,"April, May, June, July, August, September","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2888891,Annual/Perennial,S Africa,Full Sun to Part Shade,Medium,Fast,Tender,Yes,No,2,2,Blue Purple,"March, April, May",[]
https://id.biodiversity.org.au/node/apni/2889005,Tree,Queensland,Full Sun,Medium,Slow,Marginal,Yes,Yes,20,5,Orange Red,"August, September, October, November","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2889074,Shrub,South America,Moderate/Dappled Shade,Wind Tolerant,Fast,Tender,Yes,No,2,1,Pink White,"January, February, March, April, May, December","[{""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2889076,Annual/Perennial,Eurasia,Full Sun to Part Shade,Medium,Fast,Hardy,No,No,2,1,Mauve Pink,"January, February, March, December","[{""Zone"": 7}, {""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2889109,Shrub,Western Australia,Full Sun,Medium,Medium,Hardy,Yes,Yes,2,1.5,Yellow,"May, June, July, August","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2889128,Annual/Perennial,Africa,Full Sun to Part Shade,Medium,Fast,Tender,Yes,No,1.5,1,Red,"January, February, March, April, October, November, December","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2889128,Annual/Perennial,hybrid,Full Sun to Part Shade,Medium,Fast,Tender,No,No,0.45,0.4,Mauve Pink Red White,"January, February, March, April, May, November, December","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2889144,Shrub,India and Indo-China,Full Sun to Part Shade,Sheltered,,Tender,Yes,No,1.2,0.9,Blue,"July, August, September","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2889161,Climber/Creeper,New South Wales,Full Sun,Wind/Salt tolerant,Fast,Marginal,Yes,Yes,6,0.5,Yellow,"January, September, October, November","[{""Zone"": 8}, {""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2889226,Annual/Perennial,Caribbean and South America,Full Sun to Part Shade,Medium,Medium,Tender,Yes,No,1.3,0,Orange Yellow,"January, February, March, April, May, September, October, November, December","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2889252,Annual/Perennial,South west corner of WA,Full Sun to Part Shade,Medium,Fast,Tender,Yes,Yes,2,0.2,Assorted Black Cream Red Yellow,"September, October, November, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2889436,Annual/Perennial,Eastern Australia,Full Sun to Part Shade,Medium,Slow,Tender,Yes,Yes,6,2.4,Red,"October, November","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2889525,Tree,,Full Sun to Part Shade,Wind Tolerant,Medium,,Yes,No,0,0,,,
https://id.biodiversity.org.au/node/apni/2889541,Tree,N Italy,Full Sun,Wind Tolerant,Fast,Hardy,No,No,30,5,,,
https://id.biodiversity.org.au/node/apni/2889575,Shrub,Madagscar,Full Sun to Part Shade,Wind Tolerant,Slow,Tender,Yes,No,1,1.5,Pink Red White Yellow,"January, February, July, August, September, October, November, December","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2889575,Shrub,Madagscar,Full Sun to Part Shade,Wind Tolerant,Slow,Tender,Yes,No,1,1.5,Pink Red White Yellow,"January, February, July, August, September, October, November, December","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2889602,Tree,NSW,Full Sun,Wind/Salt tolerant,Medium,Hardy,Yes,Yes,6,4,Cream White,"September, October, November, December","[{""Zone"": 9}, {""Zone"": 10}]"
https://id.biodiversity.org.au/node/apni/2889612,Tree,WA,Half Sun / Half Shade,Medium,Slow,Tender,Yes,Yes,6,2,Cream,"September, October, November","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
https://id.biodiversity.org.au/node/apni/2889655,Climber/Creeper,South America,Full Sun,Medium,Very fast,Tender,Yes,No,15,1,Red,"January, February, November, December","[{""Zone"": 10}, {""Zone"": 11}, {""Zone"": 12}]"
https://id.biodiversity.org.au/node/apni/2889663,Tree,Western Australia,Full Sun,Medium,Very fast,Tender,Yes,Yes,9,3,Golden Yellow,"January, December","[{""Zone"": 9}, {""Zone"": 10}, {""Zone"": 11}]"
